considerable|adj. 重要的；相当大的；可观的
before|prep. 在…之前；先于；adv. 以前；之前；conj. 在…以前
tune|v. 调整；调音；n. 曲调；调子
compose|v. 创作；组成；使镇定
composer|n. 作曲家
computer|n. 计算机；电脑
guess|v. 猜测；猜想；n. 猜测；猜想
speculate|v. 推测；思索；投机
rate|n. 比率； 率；速度；进度；价格；费用；地方税；等级；v. 估价；值得；定级；（被）认为；被评价
alto|n. 男声¸高音；女低音；adj. 中音部的
baritone|n. 男中音；男中音歌手
cantata|n. 康塔塔；清唱剧；大合唱
choir|n. 唱诗班；合唱
chorus|v. 合唱；异口同声地说；n. 合唱团；合唱
conservatory|n. 温室；音乐学校；艺术学校
soprano|n. 女高音；¸高音
tenor|n. 男高音；次中音乐器；大意
accordion|n. 手风琴
bagpipe|n. 风笛
band|n. 乐队；带子；一伙
banjo|n. 班卓琴
bass|n. 男低音；鲈鱼
bassoon|n. 低音管；巴松管
cello|n. 大提琴
clarinet|n. 单簧管；黑管
flute|n. 长笛
guitar|n. 吉他
harmonica|n. 口琴
harp|n. 竖琴；v. 反复诉说；唠叨
oboe|n. 双簧管
orchestra|n. 管弦乐队
organ|n. 器官；机构 ；风琴
pan pipes|n. 排箫；牧神萧
percussion|n. 碰撞；打击乐器
piano|n. 钢琴
saxophone|n. 萨克斯管
string|n. 弦；线；一连串
trombone|n. 长号；伸缩长号
trumpet|n. 喇叭；小号；v. 宣扬；吹嘘
viola|n. 中提琴
violin|n. 小提琴
wind|n. 风；v. 蜿蜒；缠绕
concerto|n. 协奏曲
duet|n. 二重唱；二重奏
episode|n. 一集；事件；一段经历；一段时期
lullaby|n. 摇篮曲；催眠曲
plainsong|n. 素歌；单旋律圣歌
sonata|n. 奏鸣曲
symphony|n. 交响乐；交响曲
chord|n. 弦；和弦；心弦
euphonious|adj. 悦耳的；动听的；和谐的
movement|n. 活动；运动；动作；乐章
pitch|v. 投掷；扎营；（猛地）向前倾跌；力荐（某主张）；n. 球场；程度（¸高点）；音高；沥青；宣传论点
prelude|n. 前奏；序曲；序幕
rest|v. （使）休息；（使）倚靠；停留在；中止；n. 休息；其他；剩余部分；宁静
rhythm|n. 节奏；韵律
scale|n. 规模；等级；秤；刻度；比例（尺）；v. 改变…大小；攀登
tone|n. 音调；色调；语气；氛围；强健状况；v. 使协调；使健壮
accelerate|v. 加速；加快
advanced science|phrase. 先进科学；高级科学
advanced|adj. 先进的；高级的；v. 前进；提前；“advance”的过去式和过去分词
advance|n. 发展；进步；提前；v. 前进；发展；提前；adj. 预先的；在前的
advent|n. 到来；出现
artificial reality|phrase. 人工现实；人造现实
artificial|adj. 人造的；人工的；假的
authentic|adj. 真正的；真实的；真迹的；可靠的
break boundaries|phrase. 打破界限
computer science|phrase. 计算机科学
cutting edge|phrase. £刃；尖端；¸前沿；优势
enhance efficiency|phrase. 提高效率；提高效益
boost efficiency|phrase. 提高效率
high-end|adj. 高端的；深受老练的、识货的顾客喜爱的
highly productive|phrase. 十分高产；富有成果
high-tech|n. 高科技；adj. 高技术的
intellectual|adj. 智力的；明智的；有才智的；n. 知识分子
semi-automatic|adj. 半自动的
user friendly|adj. 易使用（理解，操作）的；人性化的
identical|adj. 相同的；同样的
alike|adj. 相同的；相像的；adv. 相同地；相像地
duplicate|v. 复制；复印；再做一次；n. 副本；复制品；完全一样的东西；adj. 复制的；副本的；完全一样的
dissimilar|adj. 不相似的；不一样的；不同的
distinct|adj. 有区别的；清晰的；明显的
at least|phrase. 至少；不少于；起码
ailment|n. 轻病；小恙
fraternal|adj. 兄弟（般）的；友爱的；异卵双生的
vulnerability|n. 脆弱性；弱点；致命性
vulnerable|adj. 脆弱的；易受伤的
root|n. 根；根源；v. 生根
with respect to|phrase. 考虑到；关于；至于
heredity|n. 遗传；遗传特征
hereditary|adj. 遗传的；遗传性的；世袭的
account|n. 账户；叙述；账目；v. 说明；占…
ascribe|v. 把…归因于
attribute|v. 由…引起；把…归因于；认为是…创作的；n. 属性；品质；特征；定语
be credited to ...|phrase. 归功于；归因于
causality|n. 因果关系；因果律
cause|n. 原因；理由；理想；事业；v. 导致；引起
derive|v. 起源；来自；源自；得到
for the sake of|phrase. 为了…
gratuitous|adj. 无故的；无必要的；无偿的；免费的
unwarranted|adj. 不合理的；没有根据的；无端的
justification|n. 辩护；正当的理由
justify|v. 替...辩护；证明...正当
reason|n. 原因；理由；理性；v. 推理；推断；讲道理；思考
result from|phrase. 由...产生；产生于
result in|phrase. 导致
constituent|adj. 组成的；构成的；立宪的；n. 成分；要素；选区内的选民
fragment|n. 碎片；断片；片段；v. （使）成碎片；（使）分裂
holistic|adj. 整体论的；整体主义的
integral|adj. 构成整体所必需的；完整的；积分的；n. 积分；整体
integrate|v. （使）合并；（使）融入；积分
integration|n. 结合；整合；一体化
disintegrate|v. 瓦解；解体；分裂
integrity|n. 完整；正直；诚实
panoramic|adj. 全景的
partial|adj. 部分的；偏袒的
partially|adv. 部分地；在某种程度上；局部地
portion|n. 部分；一份；v. 分配；把…分成份额
section|n. 部分；部门；章节
segment|n. 部分；片段；v. 分割
blood type|phrase. 血型
chromosome|n. 染色体
color-blindness|n. 色盲；色盲症
decode|v. 解码；译解；译码
deletion|n. 删除；缺失；删去
DNA sequence|phrase. 基因序列；DNA序列
dominant heredity|phrase. 显性遗传
family tree|phrase. 家谱
gene|n. 基因
genetic|adj. 基因的；遗传学的
genetics|n. 遗传学
genome|n. 基因组；染色体组
mutation|n. 转变；突变；变异
recessive inheritance|phrase. 隐性遗传
substitution|n. 替换；代替；替代
substitute|v. 替代；n. 代用品；代替物
substituted|adj. 代替的；“substitute”的过去式和过去分词；v. 代替
transgene|n. 转基因
transgenic|adj. 转基因的
perhaps|adv. 或许；可能
graphic|adj. 生动的；图表的；n. 图表
lifelike|adj. 逼真的；生动的；栩栩如生的
vivid|adj. 生动的；鲜艳的；栩栩如生的
pictorial|adj. 有图画的；图示的；n. 画报
vague|adj. 含糊的；不明确的
obscure|adj. 昏暗的；不清楚的；无名的；v. 使模糊；使隐晦；使费解
expression|n. 表达；表情；措辞
self-awareness|n. 自我意识
in general|phrase. 通常；大体上；一般而言
rage|n. 盛怒；风靡一时；v. 发怒；怒斥；（战斗、争论）激烈进行；（暴风雨）肆虐
annoyance|n. 烦恼；可厌之事
annoyed|adj. 恼怒的；气恼的；v. 使恼怒；使气恼；“annoy”的过去式和过去分词
be angry with|phrase. 生…的气；对…感到气愤
be beside oneself with rage|phrase. 大发雷霆；怒气冲冲；气的发疯
blow up|phrase. 使充气；爆炸；发怒；夸大
enrage|v. 激怒；使暴怒
exasperate|v. 使恼怒；使加剧
flip out|phrase. 精神失常；发疯
fret|v. 烦躁不安；苦恼
fume|n. 烟雾；烟气；愤怒；烦恼；v. 用烟熏；冒烟；大为生气
furibund|adj. 暴怒的；愤怒的
furious|adj. 狂怒的；暴怒的；激烈的
irate|adj. 发怒的；生气的
fierce|adj. 凶猛的；凶狠的
turbulent|adj. 狂暴的；骚动的；动荡的；汹涌的
meek|adj. 温顺的；驯服的
calm|v. （使）平静；（使）镇定；adj. 平静的；镇静的；n. 平静
unperturbed|adj. 泰然自若的
fury|n. 狂怒；狂暴；暴怒
get worked up|phrase. 对…激动；特别生气；不开心
grouchy|adj. 爱发牢骚的；脾气坏的；不悦的； 愠怒的
in a temper|phrase. 在盛怒之下；发着脾气
incense|n. 熏香；熏香的烟；v. 使愤怒；激怒
indignant|adj. 愤慨的；义愤的
indignation|n. 愤怒；愤慨；义愤
inflame|v. 激怒；加剧；发炎
infuriate|v. 激怒；使狂怒
irritate|v. 激怒；使急躁；使疼痛
lose one's temper|phrase. 发脾气；发怒
make one's blood boil|phrase. 使某人火冒三丈
make sb. nuts|phrase. 使某人发疯
nettlesome|adj. 易怒的；烦人的
out of patience|phrase. 失去耐心；忍无可忍
outrage|n. 暴行；愤怒；愤慨；v. 激怒；使震怒
provoke|v. 激怒；激起
anger|n. 愤怒；怒气
provoking|adj. 令人生气的；惹人恼火的；v. 激起；激怒；；“provoke”的现在分词
wrath|n. 愤怒；怒气；狂怒
average|adj. 平均的；普通的；n. 平均数；平均水平；v. 平均为…
ordinary|adj. 普通的；平常的；一般的
catholic|adj. 普遍的；广泛的；天主教的；n. 天主教徒
commonplace|adj. 普通的；平庸的；n. 平凡的事
diffusive|adj. 扩散的；散布性的
exhaustive|adj. 详尽的；彻底的；无遗漏的
thorough|adj. 彻底的；完全的；详尽的
hackneyed|adj. 陈腐的；陈词滥调的；老生常谈的
mediocre|adj. 平庸的；平凡的；普通的
mediocrity|n. 平凡；平庸
mostly|adv. 主要地；大部分；通常
pervasive|adj. 遍布的；弥漫的
prevalent|adj. 普遍的；流行的；盛行的
rare|adj. 稀少的；珍奇的
uncommon|adj. 不常有的；罕见的
prevalence|n. 流行；盛行；普遍
routine|n. 常规；例行公事；adj. 常规的；例行公事的
regular|adj. 规则的；有规律的；经常的；常见的；分量适中的；n. 正规军； 主力（或正式）队员； 常客
ubiquitous|adj. 到处存在的
ubiquity|n. 无处不在；普遍存在
unanimous|adj. 全体一致的；一致同意的；无异议的
agreeing|v. 同意；“agree”的现在分词
unanimously|adv. 全体一致地；无异议地
usually|adv. 通常；一般
widespread|adj. 流传甚广的；分布广的
geography|n. 地理；地理学
affect|v. 影响；感动；假装
influence|n. 影响（力）；有影响的人或物；v. 影响
locate|v. 位于；查找…的地点；确定…的位置；使坐落于
prevent|v. 防止；预防；妨碍
preventative|adj. 预防性的；n. 预防措施；预防药
prevention|n. 阻止；妨碍；预防
preventive|adj. 预防性的；n. 预防措施；预防药
consequence|n. 后果；结果
contribute|v. 捐献；投稿；贡献；促成
contribution|n. 贡献；捐助物；投稿；稿件
disempower|v. 使失去权力或影响
effective|adj. 有效的；生效的
immune|adj. 免疫的；有免疫力的；不受影响的
resistant|adj. 抵抗的；有抵抗力的
invulnerable|adj. 不会受伤害的；攻不破的；固若金汤的
immunity|n. 免疫力；豁免；免除
influential|adj. 有影响力的
interplay|v. 相互作用；n. 相互作用
interrelationship|n. 相互关联；相互联系
pliable|adj. 易弯曲的；柔韧的；易受影响的
predispose|v. 使预先有倾向；使易接受；使易于患（病）
predisposition|n. 倾向；趋势；易患病的体质
predominant|adj. 主导的；支配的；占有优势的；显著的；主要的
susceptibility|n. 感受性；易感性
susceptible|adj. 易受影响的；易动感情的
curative|adj. 医疗的；治疗的；n. 药品
heal|v. 复原；治愈
healing|n. 治疗；愈合；疗癒；adj. 痊愈中的；医治用的；v. 复原；治愈；“heal”的现在分词
psychiatric|adj. 精神病的；精神病学的
recover|v. 恢复；重新获得；复原
remedy|n. 疗法；纠正办法；v. 纠正；治疗
surgery|n. 外科手术
surgical|adj. 外科的；外科手术的
therapist|n. 治疗学家；治疗专家；临床医学家
therapy|n. 治疗；疗法
alcoholism|n. 酗酒；酒精中毒
anemia|n. 贫血（症）
angina|n. 心绞痛；咽峡炎
appendicitis|n. 阑尾炎；盲肠炎
arthritis|n. 关节炎
asthma|n. 哮喘
bronchitis|n. 支气管炎
bunion|n. 𧿹囊炎；𧿹趾囊肿
cancer|n. 癌；癌症
chickenpox|n. 水痘
coma|n. 昏迷
concussion|n. 脑震荡
cough|n. 咳嗽；v. 咳嗽
diabetes|n. 糖尿病；多尿症
dislocation|n. 关节错位；脱臼；混乱
dysmenorrhoea|n. 痛经
enteritis|n. 肠炎
fracture|n. 破裂；骨折；v. 使断裂；使骨折；使分裂
haemorrhage|n. 体内大出血；严重流失；v. 体内大出血；（使）严重流失
hepatitis|n. 肝炎
hypertension|n. 高血压；过度紧张
hypotension|n. 血压过低
leukemia|n. 白血病
malaria|n. 疟疾
pharyngitis|n. 咽炎
pneumonia|n. 肺炎
rabies|n. 狂犬病
smallpox|n. 天花；天花病毒
tetanus|n. 破伤风
tracheitis|n. 气管炎
tuberculosis|n. 结核病；肺结核
tumor|n. 肿瘤；肿块
similarly|adv. 相似地；类似地
collect|v. 收集
beyond|prep. 超出
enlarge|v. 扩大；放大
develop|v. 发展；形成；制订
development|n. 发展；开发
undeveloped|adj. 未开发的；不发达的
developing|adj. 发展中的；v. 发展；发育；“develop”的现在分词
interest|n. 兴趣；利益；利息；v. 使产生兴趣
accumulate|v. 积累
accumulation|n. 积累；累积物
amass|v. 积累；积聚；收集
attend|v. 出席；参加；照料；注意；专心
collection|n. 收集物；收藏品
congregate|v. （使）集合；（使）聚集
convene|v. 召集；集合；开会
gather|v. 聚集；集合
party|n. 聚会；政党
amplify|v. 放大，扩大；增强；详述
deflate|v. 放气；紧缩；缩小；挫某人锐气
shrink|v. 收缩；退缩；踌躇不前
augment|v. 增加；增强；扩大
augmentation|n. 增加；增大
broaden|v. 变宽；扩大；开阔
dilate|v. 使扩大；扩大；膨胀；详述
escalate|v. （使）升级；（使）恶化；逐步升高
expand|v. 扩大；膨胀；更充分地阐述
expanding|adj. 扩展的；扩充的；v. 扩大；扩张；更充分地阐述；“expand”的现在分词
expansion|n. 扩张；扩充
expanse|n. 辽阔；广袤
extend|v. 扩展；延长；提供；给予
magnify|v. 放大；扩大；夸大
outstretch|v. 伸开；扩展
sprawl|v. 伸开四肢；蔓延；杂乱无序地拓展；n. 伸开四肢；蔓延；杂乱无序的拓展
swell|v. 膨胀；肿胀
compass|n. 罗盘；指南针
realm|n. 领域；王国
region|n. 地区；区域
regional|adj. 地区的；区域的
scope|n. 范围；领域
spectrum|n. 范围；幅度；光谱；波谱
sphere|n. 球体；范围
territory|n. 领土；领域
territorial|adj. 领土的
